NGA,PolName,PolID,Start,End,World Region,Complexity,Dupl,Language,Genus,Family
Kachi Plain,AfHepht,AfHepht,496,531,SouthAsia,Early,y,Bactrian,Bactrian,Indo-European
Kachi Plain,IrSasn2,IrSasn2,532,641,SouthAsia,Early,y,Pahlavi,Iranian,Indo-European
Kachi Plain,SyCalUm,SyCalUm,670,750,SouthAsia,Early,y,Arabic,Semitic,Afro-Asiatic
Kachi Plain,IqAbbs1,IqAbbs1,750,861,SouthAsia,Early,y,Arabic,Semitic,Afro-Asiatic
Kachi Plain,PkSind1,PkSind1,862,1192,SouthAsia,Early,n,Arabic,Semitic,Afro-Asiatic
Kachi Plain,AfGhurd,AfGhurd,1193,1206,SouthAsia,Early,n,Persian,Iranian,Indo-European
Kachi Plain,InDelh*,InDelh*,1207,1339,SouthAsia,Early,n,Persian,Iranian,Indo-European
Kachi Plain,PkSind2,PkSind2,1340,1519,SouthAsia,Early,n,Sindhi,Indic,Indo-European
Kachi Plain,InMugl*,InMugl*,1526,1740,SouthAsia,Early,n,Persian,Iranian,Indo-European
Kachi Plain,AfDurrn,AfDurrn,1748,1826,SouthAsia,Early,n,Pashto,Iranian,Indo-European
Middle Ganga,InMahaJ,InMahaJ,-600,-325,SouthAsia,Add,n,InMahaJ,Indic,Indo-European
Middle Ganga,InMaury,InMaury,-324,-188,SouthAsia,Add,y,Prakrit,Indic,Indo-European
Middle Ganga,InSunga,InSunga,-187,-65,SouthAsia,Add,n,InSunga,Indic,Indo-European
Middle Ganga,InAyodE,InAyodE,-64,34,SouthAsia,Add,n,InAyodE,Indic,Indo-European
Middle Ganga,AfKushn,AfKushn,35,319,SouthAsia,Add,y,Greek,Greek,Indo-European
Middle Ganga,InGupta,InGupta,320,514,SouthAsia,Add,n,InGupta,Indic,Indo-European
Middle Ganga,InMagad,InMagad,550,606,SouthAsia,Add,n,InMagad,Indic,Indo-European
Middle Ganga,InKanau,InKanau,650,779,SouthAsia,Add,n,InKanau,Indic,Indo-European
Middle Ganga,InRasht,InRasht,780,809,SouthAsia,Add,n,InRasht,Indic,Indo-European
Middle Ganga,InGurjr,InGurjr,810,1030,SouthAsia,Add,n,InGurjr,Indic,Indo-European
Middle Ganga,InGhdvl,InGhdvl,1090,1202,SouthAsia,Add,n,InGhdvl,Indic,Indo-European
Middle Ganga,InDelh*,InDelh*,1206,1525,SouthAsia,Add,y,Persian,Iranian,Indo-European
Middle Ganga,InMugl*,InMugl*,1526,1803,SouthAsia,Add,y,Persian,Iranian,Indo-European
Deccan,InDecNL,InDecNL,-2700,-1201,SouthAsia,Medium,n,InDecNL,InDecNL,InDecNL
Deccan,InDecIA,InDecIA,-1200,-301,SouthAsia,Medium,n,Prakrit,Indic,Indo-European
Deccan,InMaury,InMaury,-300,-206,SouthAsia,Early,y,Prakrit,Indic,Indo-European
Deccan,InDecKg,InDecKg,-205,-101,SouthAsia,Medium,n,Prakrit,Indic,Indo-European
Deccan,InSataL,InSataL,-100,203,SouthAsia,Medium,n,Kannada,Indic,Indo-European
Deccan,InVakat,InVakat,286,335,SouthAsia,Medium,n,Sanskrit,Indic,Indo-European
Deccan,Gap,GapDec,351,450,SouthAsia,Medium,n,Sanskrit,Indic,Indo-European
Deccan,InKadam,InKadam,451,540,SouthAsia,Medium,n,Sanskrit,Indic,Indo-European
Deccan,InChaBd,InChaBd,541,756,SouthAsia,Medium,n,Sanskrit,Indic,Indo-European
Deccan,InRasht,InRasht,757,973,SouthAsia,Medium,n,Sanskrit,Indic,Indo-European
Deccan,InChaKl,InChaKl,974,1055,SouthAsia,Medium,n,Kannada,Indic,Indo-European
Deccan,InHoysa,InHoysa,1192,1253,SouthAsia,Medium,n,Kannada,Indic,Indo-European
